itm_no_item|INVALID ITEM
itm_no_item_pl|INVALID ITEM
itm_tutorial_spear|长 矛
itm_tutorial_spear_pl|长 矛
itm_tutorial_club|短 棍
itm_tutorial_club_pl|短 棍
itm_tutorial_battle_axe|Battle 斧
itm_tutorial_battle_axe_pl|Battle 斧
itm_tutorial_arrows|Arrows
itm_tutorial_arrows_pl|Arrows
itm_tutorial_bolts|Bolts
itm_tutorial_bolts_pl|Bolts
itm_tutorial_short_bow|Short Bow
itm_tutorial_short_bow_pl|Short Bow
itm_tutorial_crossbow|Crossbow
itm_tutorial_crossbow_pl|Crossbow
itm_tutorial_throwing_daggers|Throwing Daggers
itm_tutorial_throwing_daggers_pl|Throwing Daggers
itm_tutorial_saddle_horse|旅 行 乘 马
itm_tutorial_saddle_horse_pl|旅 行 乘 马
itm_tutorial_shield|Kite Shield
itm_tutorial_shield_pl|Kite Shield
itm_tutorial_staff_no_attack|长 棍
itm_tutorial_staff_no_attack_pl|长 棍
itm_tutorial_staff|长 棍
itm_tutorial_staff_pl|长 棍
itm_tutorial_sword|军 剑
itm_tutorial_sword_pl|军 剑
itm_tutorial_axe|斧
itm_tutorial_axe_pl|斧
itm_tutorial_dagger|匕 首
itm_tutorial_dagger_pl|匕 首
itm_horse_meat|战 马 肉 食
itm_horse_meat_pl|战 马 肉 食
itm_practice_sword|Practice 军 剑
itm_practice_sword_pl|Practice 军 剑
itm_heavy_practice_sword|重 型 Practice 军 剑
itm_heavy_practice_sword_pl|重 型 Practice 军 剑
itm_practice_dagger|Practice 匕 首
itm_practice_dagger_pl|Practice 匕 首
itm_practice_axe|Practice 斧
itm_practice_axe_pl|Practice 斧
itm_arena_axe|斧
itm_arena_axe_pl|斧
itm_arena_sword|军 剑
itm_arena_sword_pl|军 剑
itm_arena_sword_two_handed|Two Handed 军 剑
itm_arena_sword_two_handed_pl|Two Handed 军 剑
itm_arena_lance|骑 枪
itm_arena_lance_pl|骑 枪
itm_practice_staff|Practice 长 棍
itm_practice_staff_pl|Practice 长 棍
itm_practice_lance|Practice 骑 枪
itm_practice_lance_pl|Practice 骑 枪
itm_practice_shield|Practice Shield
itm_practice_shield_pl|Practice Shield
itm_practice_bow|Practice Bow
itm_practice_bow_pl|Practice Bow
itm_practice_crossbow|Practice Crossbow
itm_practice_crossbow_pl|Practice Crossbow
itm_practice_javelin|Practice Javelins
itm_practice_javelin_pl|Practice Javelins
itm_practice_javelin_melee|practice javelin melee
itm_practice_javelin_melee_pl|practice javelin melee
itm_practice_throwing_daggers|Throwing Daggers
itm_practice_throwing_daggers_pl|Throwing Daggers
itm_practice_throwing_daggers_100_amount|Throwing Daggers
itm_practice_throwing_daggers_100_amount_pl|Throwing Daggers
itm_practice_horse|Practice 战 马
itm_practice_horse_pl|Practice 战 马
itm_practice_arrows|Practice Arrows
itm_practice_arrows_pl|Practice Arrows
itm_practice_bolts|Practice Bolts
itm_practice_bolts_pl|Practice Bolts
itm_practice_arrows_10_amount|Practice Arrows
itm_practice_arrows_10_amount_pl|Practice Arrows
itm_practice_arrows_100_amount|Practice Arrows
itm_practice_arrows_100_amount_pl|Practice Arrows
itm_practice_bolts_9_amount|Practice Bolts
itm_practice_bolts_9_amount_pl|Practice Bolts
itm_practice_boots|Practice 军 靴
itm_practice_boots_pl|Practice 军 靴
itm_red_tourney_armor|红 色 Tourney 护 甲
itm_red_tourney_armor_pl|红 色 Tourney 护 甲
itm_blue_tourney_armor|蓝 色 Tourney 护 甲
itm_blue_tourney_armor_pl|蓝 色 Tourney 护 甲
itm_green_tourney_armor|绿 色 Tourney 护 甲
itm_green_tourney_armor_pl|绿 色 Tourney 护 甲
itm_gold_tourney_armor|Gold Tourney 护 甲
itm_gold_tourney_armor_pl|Gold Tourney 护 甲
itm_red_tourney_helmet|红 色 Tourney 头 盔
itm_red_tourney_helmet_pl|红 色 Tourney 头 盔
itm_blue_tourney_helmet|蓝 色 Tourney 头 盔
itm_blue_tourney_helmet_pl|蓝 色 Tourney 头 盔
itm_green_tourney_helmet|绿 色 Tourney 头 盔
itm_green_tourney_helmet_pl|绿 色 Tourney 头 盔
itm_gold_tourney_helmet|Gold Tourney 头 盔
itm_gold_tourney_helmet_pl|Gold Tourney 头 盔
itm_arena_shield_red|Shield
itm_arena_shield_red_pl|Shield
itm_arena_shield_blue|Shield
itm_arena_shield_blue_pl|Shield
itm_arena_shield_green|Shield
itm_arena_shield_green_pl|Shield
itm_arena_shield_yellow|Shield
itm_arena_shield_yellow_pl|Shield
itm_arena_armor_white|Arena 护 甲 白 色
itm_arena_armor_white_pl|Arena 护 甲 白 色
itm_arena_armor_red|Arena 护 甲 红 色
itm_arena_armor_red_pl|Arena 护 甲 红 色
itm_arena_armor_blue|Arena 护 甲 蓝 色
itm_arena_armor_blue_pl|Arena 护 甲 蓝 色
itm_arena_armor_green|Arena 护 甲 绿 色
itm_arena_armor_green_pl|Arena 护 甲 绿 色
itm_arena_armor_yellow|Arena 护 甲 Yellow
itm_arena_armor_yellow_pl|Arena 护 甲 Yellow
itm_arena_tunic_white|Arena 礼 服 上 装 白 色
itm_arena_tunic_white_pl|Arena 礼 服 上 装 白 色
itm_arena_tunic_red|Arena 礼 服 上 装 红 色
itm_arena_tunic_red_pl|Arena 礼 服 上 装 红 色
itm_arena_tunic_blue|Arena 礼 服 上 装 蓝 色
itm_arena_tunic_blue_pl|Arena 礼 服 上 装 蓝 色
itm_arena_tunic_green|Arena 礼 服 上 装 绿 色
itm_arena_tunic_green_pl|Arena 礼 服 上 装 绿 色
itm_arena_tunic_yellow|Arena 礼 服 上 装 Yellow
itm_arena_tunic_yellow_pl|Arena 礼 服 上 装 Yellow
itm_arena_helmet_red|Arena 头 盔 红 色
itm_arena_helmet_red_pl|Arena 头 盔 红 色
itm_arena_helmet_blue|Arena 头 盔 蓝 色
itm_arena_helmet_blue_pl|Arena 头 盔 蓝 色
itm_arena_helmet_green|Arena 头 盔 绿 色
itm_arena_helmet_green_pl|Arena 头 盔 绿 色
itm_arena_helmet_yellow|Arena 头 盔 Yellow
itm_arena_helmet_yellow_pl|Arena 头 盔 Yellow
itm_steppe_helmet_white|Steppe 头 盔 白 色
itm_steppe_helmet_white_pl|Steppe 头 盔 白 色
itm_steppe_helmet_red|Steppe 头 盔 红 色
itm_steppe_helmet_red_pl|Steppe 头 盔 红 色
itm_steppe_helmet_blue|Steppe 头 盔 蓝 色
itm_steppe_helmet_blue_pl|Steppe 头 盔 蓝 色
itm_steppe_helmet_green|Steppe 头 盔 绿 色
itm_steppe_helmet_green_pl|Steppe 头 盔 绿 色
itm_steppe_helmet_yellow|Steppe 头 盔 Yellow
itm_steppe_helmet_yellow_pl|Steppe 头 盔 Yellow
itm_tourney_helm_white|Tourney Helm 白 色
itm_tourney_helm_white_pl|Tourney Helm 白 色
itm_tourney_helm_red|Tourney Helm 红 色
itm_tourney_helm_red_pl|Tourney Helm 红 色
itm_tourney_helm_blue|Tourney Helm 蓝 色
itm_tourney_helm_blue_pl|Tourney Helm 蓝 色
itm_tourney_helm_green|Tourney Helm 绿 色
itm_tourney_helm_green_pl|Tourney Helm 绿 色
itm_tourney_helm_yellow|Tourney Helm Yellow
itm_tourney_helm_yellow_pl|Tourney Helm Yellow
itm_arena_turban_red|Arena Turban
itm_arena_turban_red_pl|Arena Turban
itm_arena_turban_blue|Arena Turban
itm_arena_turban_blue_pl|Arena Turban
itm_arena_turban_green|Arena Turban
itm_arena_turban_green_pl|Arena Turban
itm_arena_turban_yellow|Arena Turban
itm_arena_turban_yellow_pl|Arena Turban
itm_book_tactics|De Re Militari
itm_book_tactics_pl|De Re Militari
itm_book_persuasion|Rhetorica ad Herennium
itm_book_persuasion_pl|Rhetorica ad Herennium
itm_book_leadership|The Life of Alixenus the Great
itm_book_leadership_pl|The Life of Alixenus the Great
itm_book_intelligence|Essays on Logic
itm_book_intelligence_pl|Essays on Logic
itm_book_prisoner_management|Ramun's Note
itm_book_prisoner_management_pl|Ramun's Note
itm_book_trade|A Treatise on the Value of Things
itm_book_trade_pl|A Treatise on the Value of Things
itm_book_weapon_mastery|On the Art of Fighting with Swords
itm_book_weapon_mastery_pl|On the Art of Fighting with Swords
itm_book_engineering|Method of Mechanical Theorems
itm_book_engineering_pl|Method of Mechanical Theorems
itm_book_wound_treatment_reference|The Book of Healing
itm_book_wound_treatment_reference_pl|The Book of Healing
itm_book_training_reference|Manual of Arms
itm_book_training_reference_pl|Manual of Arms
itm_book_surgery_reference|The Great Book of Surgery
itm_book_surgery_reference_pl|The Great Book of Surgery
itm_book_spotting_reference|The General Knowledge of Spotting
itm_book_spotting_reference_pl|The General Knowledge of Spotting
itm_book_first_aid_reference|The General Knowledge of First Aid
itm_book_first_aid_reference_pl|The General Knowledge of First Aid
itm_book_pathfinding_reference|The Atlas of Calradia
itm_book_pathfinding_reference_pl|The Atlas of Calradia
itm_spice|香 料
itm_spice_pl|香 料
itm_salt|食 盐
itm_salt_pl|食 盐
itm_oil|清 油
itm_oil_pl|清 油
itm_pottery|陶 器
itm_pottery_pl|陶 器
itm_raw_flax|Flax Bundle
itm_raw_flax_pl|Flax Bundle
itm_linen|亚 麻 布
itm_linen_pl|亚 麻 布
itm_wool|羊 毛
itm_wool_pl|羊 毛
itm_wool_cloth|羊 毛 布 料
itm_wool_cloth_pl|羊 毛 布 料
itm_raw_silk|Raw 丝 绸
itm_raw_silk_pl|Raw 丝 绸
itm_raw_dyes|Dyes
itm_raw_dyes_pl|Dyes
itm_velvet|丝 绒
itm_velvet_pl|丝 绒
itm_iron|铁 矿
itm_iron_pl|铁 矿
itm_tools|工 兵 工 具
itm_tools_pl|工 兵 工 具
itm_raw_leather|Hides
itm_raw_leather_pl|Hides
itm_leatherwork|Leatherwork
itm_leatherwork_pl|Leatherwork
itm_raw_date_fruit|Date Fruit
itm_raw_date_fruit_pl|Date Fruit
itm_furs|毛 皮
itm_furs_pl|毛 皮
itm_wine|葡 萄 酒
itm_wine_pl|葡 萄 酒
itm_ale|啤 酒
itm_ale_pl|啤 酒
itm_smoked_fish|熏 鱼
itm_smoked_fish_pl|熏 鱼
itm_cheese|奶 酪
itm_cheese_pl|奶 酪
itm_honey|Honey
itm_honey_pl|Honey
itm_sausages|Sausages
itm_sausages_pl|Sausages
itm_cabbages|Cabbages
itm_cabbages_pl|Cabbages
itm_dried_meat|风 干 肉
itm_dried_meat_pl|风 干 肉
itm_apples|Fruit
itm_apples_pl|Fruit
itm_raw_grapes|Grapes
itm_raw_grapes_pl|Grapes
itm_raw_olives|Olives
itm_raw_olives_pl|Olives
itm_grain|谷 物
itm_grain_pl|谷 物
itm_cattle_meat|Beef
itm_cattle_meat_pl|Beef
itm_bread|面 包
itm_bread_pl|面 包
itm_chicken|Chicken
itm_chicken_pl|Chicken
itm_pork|Pork
itm_pork_pl|Pork
itm_butter|黄 油
itm_butter_pl|黄 油
itm_siege_supply|Weapon Supplies
itm_siege_supply_pl|Weapon Supplies
itm_quest_wine|葡 萄 酒
itm_quest_wine_pl|葡 萄 酒
itm_quest_ale|啤 酒
itm_quest_ale_pl|啤 酒
itm_tutorial_sword|军 剑
itm_tutorial_sword_pl|军 剑
itm_tutorial_axe|斧
itm_tutorial_axe_pl|斧
itm_tutorial_spear|长 矛
itm_tutorial_spear_pl|长 矛
itm_tutorial_club|短 棍
itm_tutorial_club_pl|短 棍
itm_tutorial_battle_axe|Battle 斧
itm_tutorial_battle_axe_pl|Battle 斧
itm_tutorial_arrows|Arrows
itm_tutorial_arrows_pl|Arrows
itm_tutorial_bolts|Bolts
itm_tutorial_bolts_pl|Bolts
itm_tutorial_short_bow|Short Bow
itm_tutorial_short_bow_pl|Short Bow
itm_tutorial_crossbow|Crossbow
itm_tutorial_crossbow_pl|Crossbow
itm_tutorial_throwing_daggers|Throwing Daggers
itm_tutorial_throwing_daggers_pl|Throwing Daggers
itm_tutorial_saddle_horse|旅 行 乘 马
itm_tutorial_saddle_horse_pl|旅 行 乘 马
itm_tutorial_shield|Kite Shield
itm_tutorial_shield_pl|Kite Shield
itm_tutorial_staff_no_attack|长 棍
itm_tutorial_staff_no_attack_pl|长 棍
itm_tutorial_staff|长 棍
itm_tutorial_staff_pl|长 棍
itm_sumpter_horse|Sumpter 战 马
itm_sumpter_horse_pl|Sumpter 战 马
itm_saddle_horse|旅 行 乘 马
itm_saddle_horse_pl|旅 行 乘 马
itm_steppe_horse|Steppe 战 马
itm_steppe_horse_pl|Steppe 战 马
itm_arabian_horse_a|Desert 战 马
itm_arabian_horse_a_pl|Desert 战 马
itm_courser|轻 捷 骏 马
itm_courser_pl|轻 捷 骏 马
itm_arabian_horse_b|Sarranid 战 马
itm_arabian_horse_b_pl|Sarranid 战 马
itm_hunter|猎 马
itm_hunter_pl|猎 马
itm_warhorse|War 战 马
itm_warhorse_pl|War 战 马
itm_warhorse_steppe|Steppe 重 装 战 马
itm_warhorse_steppe_pl|Steppe 重 装 战 马
itm_warhorse_sarranid|Sarranian War 战 马
itm_warhorse_sarranid_pl|Sarranian War 战 马
itm_charger|重 装 战 马
itm_charger_pl|重 装 战 马
itm_arrows|Arrows
itm_arrows_pl|Arrows
itm_khergit_arrows|Khergit Arrows
itm_khergit_arrows_pl|Khergit Arrows
itm_barbed_arrows|Barbed Arrows
itm_barbed_arrows_pl|Barbed Arrows
itm_bodkin_arrows|Bodkin Arrows
itm_bodkin_arrows_pl|Bodkin Arrows
itm_bolts|Bolts
itm_bolts_pl|Bolts
itm_steel_bolts|Steel Bolts
itm_steel_bolts_pl|Steel Bolts
itm_pilgrim_disguise|Pilgrim Disguise
itm_pilgrim_disguise_pl|Pilgrim Disguise
itm_pilgrim_hood|Pilgrim Hood
itm_pilgrim_hood_pl|Pilgrim Hood
itm_leather_gloves|皮 革 手 套
itm_leather_gloves_pl|皮 革 手 套
itm_mail_mittens|Mail Mittens
itm_mail_mittens_pl|Mail Mittens
itm_scale_gauntlets|Scale 护 手
itm_scale_gauntlets_pl|Scale 护 手
itm_lamellar_gauntlets|Lamellar 护 手
itm_lamellar_gauntlets_pl|Lamellar 护 手
itm_gauntlets|护 手
itm_gauntlets_pl|护 手
itm_wrapping_boots|Wrapping 军 靴
itm_wrapping_boots_pl|Wrapping 军 靴
itm_woolen_hose|Woolen Hose
itm_woolen_hose_pl|Woolen Hose
itm_blue_hose|蓝 色 Hose
itm_blue_hose_pl|蓝 色 Hose
itm_sarranid_boots_a|Sarranid 便 鞋
itm_sarranid_boots_a_pl|Sarranid 便 鞋
itm_ankle_boots|Ankle 军 靴
itm_ankle_boots_pl|Ankle 军 靴
itm_hunter_boots|猎 马 军 靴
itm_hunter_boots_pl|猎 马 军 靴
itm_hide_boots|Hide 军 靴
itm_hide_boots_pl|Hide 军 靴
itm_nomad_boots|Nomad 军 靴
itm_nomad_boots_pl|Nomad 军 靴
itm_light_leather_boots|轻 型 皮 革 军 靴
itm_light_leather_boots_pl|轻 型 皮 革 军 靴
itm_hungarian_hussar_boots|Hungarian Hussar 军 靴
itm_hungarian_hussar_boots_pl|Hungarian Hussar 军 靴
itm_polish_uhlan_boots|Polish Uhlan 军 靴
itm_polish_uhlan_boots_pl|Polish Uhlan 军 靴
itm_austrian_infantry_pants_boots|奥 地 利 式 infantry 裤 子
itm_austrian_infantry_pants_boots_pl|奥 地 利 式 infantry 裤 子
itm_mail_chausses|Mail Chausses
