trp_player|玩 家
trp_player_pl|玩 家
trp_multiplayer_profile_troop_male|multiplayer profile troop male
trp_multiplayer_profile_troop_male_pl|multiplayer profile troop male
trp_multiplayer_profile_troop_female|multiplayer profile troop female
trp_multiplayer_profile_troop_female_pl|multiplayer profile troop female
trp_temp_troop|Temp Troop
trp_temp_troop_pl|Temp Troop
trp_find_item_cheat|find item cheat
trp_find_item_cheat_pl|find item cheat
trp_random_town_sequence|Random Town Sequence
trp_random_town_sequence_pl|Random Town Sequence
trp_tournament_participants|Tournament Participants
trp_tournament_participants_pl|Tournament Participants
trp_tutorial_maceman|Maceman
trp_tutorial_maceman_pl|Maceman
trp_tutorial_archer|Archer
trp_tutorial_archer_pl|Archer
trp_tutorial_swordsman|Swordsman
trp_tutorial_swordsman_pl|Swordsman
trp_novice_fighter|初 级 格 斗 士
trp_novice_fighter_pl|初 级 格 斗 士
trp_regular_fighter|普 通 格 斗 士
trp_regular_fighter_pl|普 通 格 斗 士
trp_veteran_fighter|老 兵 Fighter
trp_veteran_fighter_pl|老 兵 Fighter
trp_champion_fighter|冠 军 格 斗 士
trp_champion_fighter_pl|冠 军 格 斗 士
trp_arena_training_fighter_1|初 级 格 斗 士
trp_arena_training_fighter_1_pl|初 级 格 斗 士
trp_arena_training_fighter_2|初 级 格 斗 士
trp_arena_training_fighter_2_pl|初 级 格 斗 士
trp_arena_training_fighter_3|普 通 格 斗 士
trp_arena_training_fighter_3_pl|普 通 格 斗 士
trp_arena_training_fighter_4|普 通 格 斗 士
trp_arena_training_fighter_4_pl|普 通 格 斗 士
trp_arena_training_fighter_5|普 通 格 斗 士
trp_arena_training_fighter_5_pl|普 通 格 斗 士
trp_arena_training_fighter_6|老 兵 Fighter
trp_arena_training_fighter_6_pl|老 兵 Fighter
trp_arena_training_fighter_7|老 兵 Fighter
trp_arena_training_fighter_7_pl|老 兵 Fighter
trp_arena_training_fighter_8|老 兵 Fighter
trp_arena_training_fighter_8_pl|老 兵 Fighter
trp_arena_training_fighter_9|冠 军 格 斗 士
trp_arena_training_fighter_9_pl|冠 军 格 斗 士
trp_arena_training_fighter_10|冠 军 格 斗 士
trp_arena_training_fighter_10_pl|冠 军 格 斗 士
trp_cattle|Cattle
trp_cattle_pl|Cattle
trp_farmer|Farmer
trp_farmer_pl|Farmer
trp_townsman|Townsman
trp_townsman_pl|Townsman
trp_refugee|Refugee
trp_refugee_pl|Refugee
trp_peasant_woman|Peasant Woman
trp_peasant_woman_pl|Peasant Woman
trp_follower_woman|Camp Follower
trp_follower_woman_pl|Camp Follower
trp_hunter_woman|Huntress
trp_hunter_woman_pl|Huntress
trp_fighter_woman|Camp Defender
trp_fighter_woman_pl|Camp Defender
trp_sword_sister|Sword Sister
trp_sword_sister_pl|Sword Sister
trp_hungarian_footman|匈 牙 利 62th 燧 发 枪 兵
trp_hungarian_footman_pl|匈 牙 利 62th 燧 发 枪 兵
trp_hungarian_hussar|匈 牙 利 第 5 骠 骑 兵
trp_hungarian_hussar_pl|匈 牙 利 第 5 骠 骑 兵
trp_austrian_infantry|奥 地 利 燧 发 枪 兵
trp_austrian_infantry_pl|奥 地 利 燧 发 枪 兵
trp_austrian_grenadier|Tyrol Landesshutzen
trp_austrian_grenadier_pl|Tyrol Landesshutzen
trp_russian_hussar|俄 罗 斯 骠 骑 兵
trp_russian_hussar_pl|俄 罗 斯 骠 骑 兵
trp_hungarian_hussar_veteran|匈 牙 利 第 4 骠 骑 兵 (老 兵 )
trp_hungarian_hussar_veteran_pl|匈 牙 利 第 4 骠 骑 兵 (老 兵 )
trp_hungarian_hussar_elite|匈 牙 利 第 4 骠 骑 兵 (精 锐 )
trp_hungarian_hussar_elite_pl|匈 牙 利 第 4 骠 骑 兵 (精 锐 )
trp_polish_uhlan|奥 地 利 乌 兰 枪 骑 兵
trp_polish_uhlan_pl|奥 地 利 乌 兰 枪 骑 兵
trp_slave_driver|奥 地 利 乌 兰 枪 骑 兵 (hardened)
trp_slave_driver_pl|奥 地 利 乌 兰 枪 骑 兵 (hardened)
trp_slave_hunter|奥 地 利 乌 兰 枪 骑 兵 (老 兵 )
trp_slave_hunter_pl|奥 地 利 乌 兰 枪 骑 兵 (老 兵 )
trp_slave_crusher|奥 地 利 乌 兰 枪 骑 兵 (精 锐 )
trp_slave_crusher_pl|奥 地 利 乌 兰 枪 骑 兵 (精 锐 )
trp_slaver_chief|奥 地 利 Light 龙 骑 兵
trp_slaver_chief_pl|奥 地 利 Light 龙 骑 兵
trp_mercenaries_end|mercenaries end
trp_mercenaries_end_pl|mercenaries end
trp_french_recruit|法 国 第 45 新 兵
trp_french_recruit_pl|法 国 第 45 新 兵
trp_french_infantry|法 国 第 45 燧 发 枪 兵
trp_french_infantry_pl|法 国 第 45 燧 发 枪 兵
trp_french_84_infantry|法 国 第 84 燧 发 枪 兵
trp_french_84_infantry_pl|法 国 第 84 燧 发 枪 兵
