ip_morale|Moral
ip_morale_text|Die Moral eurer Einheiten repräsentiert deren Bereitschaft, die größten Strapazen auf sich zu nehmen und sich den furchterregendsten Feinden entgegenzuwerfen. Dies ist nicht gleichbedeutend mit der Zufriedenheit der Truppe. Selbst schlachterprobte Recken eurer Schar können murren und sich über die Entbehrungen auf langen Feldzügen beklagen – nur um dann im Pfeilhagel eisern ihren Mann zu stehen. Wenn ein Kommandant seinen Männern alles gibt, nach was es ihnen gelüstet, so kann es andererseits aber auch passieren, dass sie verwöhnt werden und beim Angriff des Feindes die Beine in die Hand nehmen.^^ Den größten Einfluss übt die Moral auf das Verhalten einer Truppe in der Schlacht aus: Sie beeinflusst, wie entschlossen Eure Krieger den Feind angreifen und wie rasch sie Fersengeld geben, sollten sie den Eindruck gewinnen, dass sich das Schlachtenglück gegen sie wendet. Die Moral wirkt sich auch auf die Marschgeschwindigkeit einer Truppe aus: lustlose Krieger marschieren langsamer, da sie nicht an ihre körperlichen Grenzen gehen, und rasten außerdem häufiger, damit Nachzügler aufschließen können. Truppen mit sehr niedriger Moral verlieren schließlich auch Krieger durch Fahnenflucht.^^ Einige die Moral betreffende Faktoren sind intuitiv: ein charismatischer Hauptmann mit dem Ruf, dass Schlachtenglück gepachtet zu haben, kann seinen Mannen mehr Selbstvertrauen einflößen. Anführer, die ihre Soldaten ausreichend und ausgewogen ernähren und sie rechtzeitig, vor allen Dingen aber vollständig, bezahlen, zeigen so, dass ihnen das Wohlergehen ihrer Truppe am Herzen liegt und sie ihre Krieger mit geringerer Wahrscheinlichkeit ins Verderben führen.^^ Andere Faktoren sind dagegen weniger intuitiv – besonders jene, die sich auf den Gruppenzusammenhalt einer Truppe beziehen. Angehörige einer kleinen, eingeschworenen Truppe kämpfen beispielsweise oft verbissen gegen erdrückende Übermachten, um vor ihren Kameraden nicht als Hasenfuß verspottet zu werden. Der Zusammenhalt einer großen Truppe dagegen kann schwächer ausfallen, da der Hauptmann weniger Zeit hat, seine Männer zu beaufsichtigen, sich ihre Sorgen und Nöte anzuhören und ihre Streitereien zu schlichten. Häufige Gefechte steigern die Verbundenheit der Krieger untereinander, während lange Phasen ohne Kämpfe die Truppen langweilt und ihren Unmut erhöht.^^ Der Moralbericht, verfügbar über die 'Berichtsschaltfläche' verschafft Euch einen Überblick über die Faktoren, die die Moral Eurer Männer beeinflussen.
ip_economy|Wirtschaft
ip_economy_text|Städte und Dörfer in Calradia benötigen eine große Vielfalt an Gütern, damit ihre Bevölkerungen gesund und leistungsfähig bleiben. Am wichtigsten ist dabei Nahrung. Getreide ist die Hauptfeldfrucht in Calradia, doch die Leute brauchen auch Fette und Proteine in Form von Fleisch, Fisch oder Käse. Da die Konservierung von Fleisch fast so viel Arbeit wie seine Herstellung bedeutet, besteht eine große Nachfrage nach Salz. Nach der Nahrung kommt die Kleidung: schwere Wolle, leichtes Leinen oder luxuriöser Samt. Letztlich benötigen die Leute auch die Werkzeuge für ihre Berufe: Eisenwaren, Töpferwaren, Lederwaren und natürlich Waffen, Rüstungen und Pferde.^^Die meisten landwirtschaftlichen Produkte werden in den Dörfern produziert, während sich die Handwerker in den Städten auf die Herstellung von Massenware oder Spezialanfertigungen wie Stoffe und Eisenwaren spezialisiert haben. In verschiedenen Landesteilen können außerdem unterschiedliche Ressourcen gefunden werden. Als Konsequenz liegt der Schlüssel zum Reichtum in Calradia im Handel – zwischen den Dörfern und Städten und zwischen den großen Städten selbst.^^Wenn der Handel floriert, sind die Güter in großen Mengen und zu niedrigen Preisen verfügbar, ist die Bevölkerung eines Zentrum gesund und energetisch und wandern Migranten aus den umliegenden Regionen zu. Das betreffemde Zentrum produziert und verbraucht mehr – und kann seinen Fürsten umso mehr Steuern zahlen. Wenn der Handel nachlässt, sehen sich die Arbeiter in Städten und Dörfern woanders nach neuer Arbeit um und die wirtschaftliche Aktivität kommt zum Erliegen. Aus diesem Grunde ist es im Interesse der Herrscher, die Handelsrouten vor den Gefahren des Krieges und vor Banditen zu beschützen. Schlaue Händler suchen sich jedoch Städte aus, die vom Rest des Landes isoliert wurden, da sie dort aufgrund der resultierenden preislichen Unausgewogenheit einen hübschen Gewinn erzielen könnten.^^Da Dörfler ihre Güter normalerweise auf Stadtmärkte bringen, geht es auf Dorfmärkten in der Regel deutlich ruhiger zu, und Dörfler kaufen billig ein und verkaufen teuer. Ernsthafte Händler halten sich zum Erzielen von Gewinnen an die Städte, obwohl manche gerne einen Zwischenstopp in einem Dorf einlegen, um die Vorräte aufzufüllen.^^Wenn Ihr etwas über die Faktoren erfahren wollt, die den Reichtum einer Region beeinflussen, so könnt Ihr mit dem Gildenmeister der lokalen Stadt sprechen. Weitere Informationen können von Passanten in Erfahrung gebracht werden, obwohl sie eventuell nicht so viel über andere Handelssparten als ihre eigene wissen.^^Einfluss auf eine lokale Wirtschaft nehmt Ihr vor allem dadurch, indem Ihr den Handel schützt, aber Ihr könnt auch etwas bewegen, indem Ihr in Unternehmungen wie Fischteiche, Getreidemühlen oder Gerbereien investiert. Diese Investitionen kommen der Bevölkerung zugute und können auch einen kleinen Profit für Euch erwirtschaften. Die erfolgreichsten Unternehmungen produzieren Güter, die stark nachgefragt werden, deren Rohmaterialien aber im Überfluss verfügbar sind.
ip_courtship|Brautwerbung
ip_courtship_text|Vielleicht wünscht Ihr, in eine der calradischen Adelsfamilien einzuheiraten. Eine Heirat ist zwar nicht unbedingt erforderlich, um Macht und Status zu erlangen, aber sie verschafft Euch eine gute Gelegenheit, Eure Beziehungen zu bestimmten Fürsten zu verbessern und um einen Anspruch auf den Thron zu begründen.^^Die Heiratsbedingungen unterscheiden sich für Männer und Frauen. Ein männlicher Spielcharakter muss üblicherweise dem traditionellen Weg der Brautwerbung folgen: er sollte sich einen guten Ruf bei der aristokratischen Gesellschaft Calradias verschaffen, auf guten Fuß mit den Eltern der Braut oder ihren Vormündern kommen, und dann die Dame selbst nach lokalem Brauch umwerben. Wenn dies Euch zu lange dauert, könnt Ihr auch eine Abkürzung nehmen – was aber nicht ohne Konsequenzen hinsichtlich Eurer Beziehungen zu anderen Fürsten bliebe.^^Als männlicher Spielcharakter solltet Ihr darauf achten, dass andere Fürsten mit Euch in den Wettstreit um die Zuneigung der Damen des Königreichs treten werden. Da die Geschmäcker einer Dame nicht vorhersehbar sind, könntet Ihr es auch erleben, dass Ihr von einer Dame abgewiesen werdet. Romanzen sind in Calradia, wie anderswo auch, zarte Pflänzchen und gedeihen nicht immer. Natürlich könntet Ihr auch auf weniger ritterliche Methoden zurückgreifen, um das Herz einer Dame zu gewinnen, aber dies hätte wiederum schwere Auswirkungen auf Euren Ruf.^^Um mit der Brautwerbung zu beginnen, muss sich ein männlicher Spielcharakter im sozialen Leben der calradischen Aristokratie engagieren und an Gelagen wie Turnieren teilnehmen. Wandernde Minnesänger und Poeten können Euch nützliche Informationen über die Brautwerbung geben; meistens haben sie auch die neuesten Gerüchte auf Lager.^^Weibliche Spielcharaktere können ebenfalls heiraten – aber sie sollten dabei im Hinterkopf behalten, dass die calradische Gesellschaft sehr traditionell ist, und dass sie als Abenteurerin einen für eine Frau sehr ungewöhnlichen Weg gewählt haben. Daher müssen sie wohl eine Zeit lang suchen, bis sie einen Fürsten finden, der einer Heirat gegenüber aufgeschlossen ist.^^Der Vorteil hierbei liegt darin, dass sich weibliche Spielcharaktere nicht mit den komplizierten Ritualen der Brautwerbung abgeben müssen und dass sie durch eine Heirat mehr gewinnen können als ihr Ehepartner. Für eine Abenteurerin kann die Heirat durchaus eine Abkürzung auf dem Weg zur Macht sein – und wenn Ihr das Spiel skrupellos spielt, könnt Ihr Euren Ehemann als Werkzeug Eurer politischen Ambitionen benutzen.
ip_politics|Politik
ip_politics_text|Alle Reiche Calradias bevorzugen trotz ihrer unterschiedlichen Kulturen das selbe politische System: den Feudalismus. Der Feudalismus fußt auf den Beziehungen zwischen Individuen einer straffen Hierarchie, also den Treueschwüren, die Vasallen ihren Lehnsherren leisten. Als Gegenleistung hierfür erhält der Vasall normalerweise ein Lehen, also ein Stück Land, dessen Einkünfte er dazu verwendet, um seinem Lehnsherrn in Kriegszeiten mit ausgehobenen Truppen zur Seite zu stehen. Ein Lehnsherr im Gegenzug verpflichtet sich, seine Vasallen zu schützen und sie gerecht zu behandeln.^^So die Theorie. In Wirklichkeit handeln die Vasallen nicht immer im Interesse ihrer Fraktionen, vor allem weil sie oft mit anderen Fürsten im Streit liegen. Adlige haben unterschiedliche Persönlichkeiten, und diese Persönlichkeiten geraten manchmal aneinander. Vielleicht verstanden sich auch zwei Edelmänner ursprünglich sehr gut, überwarfen sich jedoch infolge eines Rückschlags oder einer Niederlage -- oder weil es beiden nach derselben Dame gelüstete. Eifersucht kommt auch zum Tragen, wenn sie um die Gunst des Königs buhlen – vielleicht wegen neu eroberter Gebiete oder wegen des begehrten Titels des Marschalls, dem Fürst, der mit der Organisation großer Feldzüge betraut wird.^^Wenn ein Reich in Calradia Krieg gegen ein anderes führt, ist der politische Zusammenhalt beider Reiche für den Ausgang des Kriegs ebenso wichtig wie die Anzahl ihrer Krieger im Feld. In einem Königreich mit gutem Zusammenhalt bilden die Fürsten eine große Streitmacht, um ihre Kontrahenten vom Schlachtfeld zu fegen. In einem Königreich mit vielen kleinen Streitereien jedoch ignorieren die Fürsten die Aufrufe des Marschalls oder setzen sich von Feldzügen ab, um wieder eigenen Interessen zu frönen. Der politische Zusammenhalt einer Fraktion hat auch Einfluss auf die Kriegsführung, wenn gerade keine Feldzüge geführt werden. Die Fürsten einer zerstrittenen Fraktion werden mit geringerer Wahrscheinlichkeit zusammen an Überfällen oder Patrouillen teilnehmen bzw. einander im Angriffsfall zu Hilfe kommen.^^Während es für Fürsten angesichts eines herannahenden Feindes unsinnig erscheint, sich zu zanken, so sollte man in Erinnerung behalten, dass die Loyalität eines Adligen letztendlich nicht einer besonderen Fraktion oder Kultur gilt, sondern zuerst sich selbst und seiner Familie. Wenn ein Adliger befürchtet, dass seine Fraktion vor dem Untergang steht oder wenn er von seinem Lehnsherrn vernachlässigt wird, wird er stets einen Grund finden, seinen Treueschwur zurückzuziehen und die Seiten zu wechseln. Dies solltet Ihr beim Spielen in Erinnerung behalten, da sich Euch Gelegenheiten bieten könnten, Euch unwohl gesinnte Fürsten – früher Feinde – zu Verbündeten zu machen.
ip_character_backgrounds|Charakterhintergründe
ip_character_backgrounds_text|Ein Spielcharakter in Calradia kann einer Vielzahl von sozialen Hintergründen entspringen. Diese Wahl wird sich nicht nur auf die Anfangsfähigkeiten und Ausrüstung auswirken, sondern auch auf den Kurs seiner Karriere als Abenteuerer.^^Politik und Kriegskunst sind in Calradia die Domäne von männlichen Adligen. Ein Spieler adeliger Herkunft kann davon ausgehen, schneller Zugang zu diesem erlauchten Kreis zu erhalten, während Bürger oder sogar Frauen einige Extrahürden bewältigen dürfen. Wenn ihr euch dazu entschließt, als männlicher Adliger zu beginnen, könnt ihr dies mit dem Schwierigkeitsgrad 'leicht' vergleichen. Als Adlige oder als männlicher Bürger zu starten ist etwas schwieriger und eine einfache Bürgerin kann mit einem steinigen Weg rechnen.^^Jedoch haben Frauen einige Startvorteile. Allein dadurch, dass sie zu einer Waffe greifen, ziehen sie eine Menge Aufmerksamkeit auf sich und man könnte der Meinung sein, dass sich ihr Ruf schneller als der eines Mannes steigert. Auch ist es für eine Frau traditionell einfacher, sich auf der sozialen Leiter nach oben zu heiraten als dies bei Männern der Fall ist. Zumal kann sie durch eine strategische Heirat mehr erreichen als ihr männliches Gegenüber.^^Behaltet schlussendlich im Gedächtnis, dass das Spiel, basierend auf eurer Vorgeschichte, keine Grenzen beim sozialen Aufstieg von Charakteren setzt. Edel oder bürgerlich, männlich oder weiblich, verheiratet oder nicht -- jeder kann zum Herrscher über Calradia aufsteigen, sei es durch ausreichend Mut, Glück oder Einfallsreichtum.
ip_military_campaigns|Militärkampagne
